accuracy_pct,speed_score,completed,hints_used,attempts,current_difficulty,rolling_score,target_difficulty
64.21,42.67,1.0,0,3,2,63.6,2
68.75,21.11,1.0,1,1,1,56.02,1
49.44,37.16,1.0,3,1,2,41.93,1
67.38,43.57,1.0,0,2,3,58.67,3
59.1,55.36,1.0,0,7,4,52.6,3
79.2,40.73,1.0,0,1,1,62.94,1
75.81,50.15,1.0,0,4,2,69.1,2
65.7,31.96,1.0,1,4,2,51.91,2
83.64,52.34,1.0,0,1,3,76.98,3
81.65,62.25,1.0,0,1,1,64.36,1
53.28,48.31,0.0,1,5,3,33.37,2
66.59,58.38,1.0,1,2,1,61.6,1
87.11,68.56,1.0,0,3,1,68.25,2
54.19,41.07,1.0,1,3,2,48.92,1
87.02,73.69,1.0,0,2,1,72.98,2
91.57,43.86,1.0,0,1,3,69.9,3
64.94,26.78,1.0,0,2,1,57.81,1
75.17,61.82,1.0,0,1,2,71.39,2
75.25,56.58,1.0,1,3,1,60.54,1
92.49,65.09,1.0,0,1,1,73.03,2
48.94,47.32,0.0,3,2,3,26.93,2
57.8,41.33,0.0,1,4,2,33.71,1
79.26,47.79,1.0,1,3,1,63.07,1
87.43,52.93,1.0,1,1,1,71.69,1
92.26,76.93,1.0,0,2,1,87.8,2
83.78,71.72,1.0,0,4,2,79.85,2
92.31,88.94,1.0,1,1,2,83.73,3
70.13,55.7,1.0,0,2,2,63.35,2
86.05,54.54,1.0,0,2,1,68.05,1
100.0,100.0,1.0,0,1,1,93.32,2
48.31,32.87,1.0,1,3,3,52.6,2
84.74,37.06,1.0,0,2,3,74.77,3
94.52,54.74,1.0,0,1,1,75.98,1
83.15,70.27,1.0,0,1,2,75.51,2
50.92,31.43,1.0,3,4,4,36.37,3
83.81,68.34,1.0,0,1,2,74.37,2
78.82,64.2,1.0,0,1,1,69.66,1
100.0,76.91,1.0,0,1,1,86.55,2
35.78,16.37,0.0,4,4,3,8.84,2
74.83,67.42,1.0,0,2,4,69.29,4
100.0,57.74,1.0,0,1,2,77.65,2
58.54,13.69,0.0,0,1,3,36.85,2
100.0,62.9,1.0,0,1,1,81.54,2
93.03,67.27,1.0,0,1,1,84.12,2
71.34,41.82,1.0,0,3,2,62.36,2
26.9,12.8,0.0,1,2,5,13.14,4
61.79,46.13,0.0,1,3,4,32.25,3
78.93,85.79,1.0,0,2,3,73.74,3
46.95,29.61,1.0,4,7,3,36.41,2
79.86,62.57,1.0,1,3,1,63.19,1
73.25,55.68,0.0,2,4,2,40.09,1
69.05,47.35,1.0,1,2,1,60.97,1
100.0,64.58,1.0,0,1,1,87.35,2
44.6,46.4,1.0,1,1,4,51.18,3
65.78,41.79,1.0,1,3,2,55.5,2
65.19,38.43,0.0,1,2,4,28.29,3
79.88,58.67,1.0,0,2,1,66.38,1
68.74,32.03,1.0,1,2,1,54.17,1
60.32,37.42,1.0,1,1,3,51.61,3
61.28,38.19,1.0,1,1,1,58.59,1
84.41,98.56,1.0,0,1,2,87.1,2
62.55,42.26,1.0,2,4,1,46.38,1
100.0,86.06,1.0,0,1,1,92.84,2
51.56,23.07,1.0,1,2,3,45.48,2
68.98,52.76,1.0,2,1,1,52.91,1
74.12,52.4,1.0,1,2,2,58.54,2
52.21,43.9,1.0,1,3,3,39.51,2
100.0,94.96,1.0,0,2,1,87.11,2
59.99,59.39,1.0,1,5,4,63.61,3
66.79,63.16,1.0,1,1,3,62.86,3
84.37,68.68,1.0,1,1,1,79.44,1
26.48,10.0,0.0,3,4,4,1.01,3
50.68,32.3,1.0,1,6,4,49.16,3
78.12,65.82,1.0,1,1,2,65.7,2
47.93,33.11,1.0,3,5,4,39.35,3
65.62,38.37,1.0,1,3,2,54.9,2
66.12,49.22,1.0,0,3,4,62.95,4
54.12,35.61,1.0,2,1,3,49.63,2
49.62,50.52,1.0,2,3,2,47.25,1
69.87,18.39,1.0,0,3,2,55.82,1
54.92,75.33,1.0,3,3,3,51.78,2
78.26,51.01,1.0,0,2,1,68.4,1
62.5,41.93,0.0,0,2,2,37.59,1
96.4,75.01,1.0,0,1,2,77.62,3
74.04,40.98,1.0,2,2,1,54.06,1
51.61,19.29,0.0,4,2,3,19.11,2
61.17,18.09,1.0,1,4,2,55.07,1
70.41,50.8,1.0,0,3,4,69.77,4
68.35,23.44,1.0,1,2,1,54.82,1
93.93,83.37,1.0,1,1,1,83.17,2
67.71,51.96,1.0,1,1,2,56.56,2
53.11,30.1,1.0,2,4,2,47.64,1
78.14,67.96,1.0,0,2,1,69.52,1
96.75,52.01,1.0,0,1,1,83.79,1
61.9,47.48,0.0,0,3,3,38.74,2
84.45,65.74,1.0,0,1,2,78.76,2
81.82,62.93,1.0,0,2,2,67.44,2
63.91,45.32,1.0,0,2,5,63.63,5
81.84,78.0,1.0,0,2,1,72.75,1
87.68,49.26,1.0,1,1,2,70.11,2
67.94,66.09,1.0,1,5,4,60.36,4
70.88,38.88,1.0,0,1,2,58.4,2
50.14,21.63,0.0,3,1,1,18.7,1
97.41,98.49,1.0,0,1,2,94.94,3
84.68,61.38,1.0,1,3,1,68.78,1
92.94,68.63,1.0,0,1,2,77.47,3
58.24,32.56,1.0,2,6,3,48.68,2
52.6,35.4,1.0,2,2,2,51.7,1
10.27,10.52,0.0,3,10,4,0.0,3
88.78,64.24,1.0,0,1,3,76.6,4
69.57,44.67,1.0,0,3,4,62.66,4
98.61,62.15,1.0,1,1,1,77.03,2
47.2,42.99,1.0,3,3,5,35.88,4
55.31,53.41,1.0,1,3,4,53.98,3
76.26,47.55,1.0,0,2,2,69.04,2
39.16,31.69,0.0,2,5,5,20.08,4
82.06,72.39,1.0,1,1,1,69.65,1
73.27,56.86,1.0,0,1,4,69.62,4
69.92,40.12,1.0,1,2,5,57.3,5
71.09,65.78,1.0,1,1,2,61.82,2
58.18,35.02,1.0,2,2,1,49.98,1
68.61,79.35,1.0,1,1,2,66.62,2
64.79,39.2,1.0,0,1,2,58.61,2
83.85,55.13,1.0,0,2,3,69.74,3
46.54,45.17,0.0,4,3,5,17.81,4
76.39,84.29,1.0,0,1,4,72.69,4
71.31,47.56,0.0,0,1,1,45.68,1
83.85,68.41,1.0,1,3,3,72.58,3
50.56,49.39,0.0,2,2,3,29.69,2
48.27,14.12,0.0,4,2,5,16.38,4
95.76,59.98,1.0,1,1,3,75.67,3
92.08,66.19,1.0,0,1,1,76.5,2
53.69,27.68,0.0,1,3,3,31.73,2
73.66,72.97,1.0,0,3,1,69.41,1
95.75,60.34,1.0,1,1,1,75.89,2
81.84,67.79,1.0,0,1,1,73.98,1
35.96,48.03,0.0,3,3,5,17.58,4
87.98,81.98,1.0,0,2,1,75.87,2
58.23,48.85,1.0,2,2,4,58.43,3
73.76,58.26,1.0,1,1,5,59.19,5
68.86,51.01,1.0,1,3,3,61.43,3
79.78,52.31,1.0,0,2,3,74.48,3
46.51,26.51,1.0,2,2,2,45.77,1
100.0,73.42,1.0,1,1,1,88.36,2
45.16,47.93,0.0,3,4,2,30.06,1
83.1,54.4,1.0,0,1,1,73.21,1
81.71,43.87,1.0,0,1,2,69.33,2
72.11,40.6,1.0,1,1,2,60.81,2
83.17,59.5,1.0,1,2,3,68.55,3
45.27,15.9,0.0,4,2,4,15.35,3
72.15,80.43,1.0,1,2,3,65.26,3
93.92,66.14,1.0,0,1,1,78.28,2
57.35,45.58,0.0,0,3,2,47.52,1
86.85,50.96,1.0,1,1,3,67.01,3
57.42,45.84,1.0,2,2,2,46.22,1
81.49,34.04,1.0,1,2,4,56.25,4
58.09,45.39,1.0,1,2,3,53.79,2
99.55,96.67,1.0,1,1,1,80.11,2
82.12,55.87,1.0,0,2,2,75.83,2
75.15,41.92,1.0,1,2,4,54.97,4
91.82,92.49,1.0,1,2,2,80.57,3
51.19,48.11,0.0,4,3,5,17.9,4
74.25,61.42,1.0,2,1,2,60.73,2
65.24,58.35,1.0,1,2,4,62.18,4
81.52,39.07,1.0,0,1,2,63.87,2
63.22,43.53,1.0,1,2,3,57.0,3
50.09,30.6,0.0,1,5,5,24.98,4
43.83,10.0,1.0,2,4,3,33.32,2
70.18,59.19,1.0,1,1,2,59.19,2
70.82,23.36,1.0,0,2,1,65.95,1
86.62,35.25,1.0,0,4,2,61.34,2
44.56,25.83,0.0,3,4,3,18.19,2
75.1,84.23,1.0,0,2,2,75.4,2
83.76,37.64,1.0,0,1,1,61.79,1
80.73,54.35,1.0,0,2,1,73.43,1
61.95,25.36,1.0,1,3,3,49.21,2
50.7,28.19,1.0,3,3,5,38.94,4
46.73,64.88,0.0,2,2,2,24.84,1
50.22,27.95,0.0,4,3,4,14.65,3
75.54,41.26,1.0,1,2,4,62.32,4
82.59,58.93,1.0,0,2,1,74.24,1
44.84,44.67,0.0,3,3,3,21.84,2
85.53,86.39,1.0,0,2,1,78.39,2
92.48,74.19,1.0,0,2,1,80.22,2
24.75,11.41,0.0,4,6,5,0.0,4
66.79,27.24,1.0,0,3,2,67.1,1
84.03,70.86,1.0,0,1,3,73.32,3
91.0,64.25,1.0,0,1,2,82.92,3
73.03,71.07,0.0,2,2,2,45.16,1
64.9,57.15,1.0,1,2,3,58.28,3
62.54,59.74,1.0,1,3,2,58.49,2
21.98,26.23,0.0,3,4,4,11.54,3
72.21,40.95,1.0,2,1,3,51.16,3
83.9,43.68,1.0,1,1,2,64.62,2
45.63,33.7,0.0,4,1,2,13.31,1
78.26,52.35,1.0,0,3,2,70.57,2
73.54,61.96,1.0,1,1,1,62.79,1
56.67,42.65,1.0,1,2,4,59.41,3
63.47,13.41,1.0,1,1,5,43.87,4
83.8,43.83,1.0,0,2,2,65.47,2
82.77,59.05,1.0,0,1,1,71.88,1
83.05,43.42,1.0,0,1,2,68.21,2
46.64,28.18,0.0,3,4,3,21.51,2
67.52,35.49,1.0,2,2,3,49.64,3
67.8,46.59,1.0,2,3,2,55.12,2
50.69,32.7,1.0,3,2,3,37.92,2
68.7,54.49,1.0,0,3,3,69.81,3
90.38,59.13,1.0,0,1,2,73.43,2
70.92,74.21,1.0,1,2,1,65.18,1
76.54,58.97,1.0,0,1,2,66.03,2
82.37,48.58,1.0,0,2,1,72.32,1
90.6,70.99,1.0,0,1,1,80.48,2
82.27,49.29,1.0,1,2,4,61.44,4
41.21,30.86,0.0,2,4,5,19.95,4
48.46,17.22,0.0,1,3,5,25.35,4
